PUMACE10,name,data
03416,Winnetka/Northbrook,2005-3-01 44.5	2005-6-01 49.7	2005-9-01 58.2	2006-3-01 67.1	2006-6-01 71.8	2006-9-01 74.5	2007-3-01 77.5	2007-6-01 79.2	2007-9-01 79.1	2008-3-01 78.8	2008-6-01 74.7	2008-9-01 70.5	2009-3-01 65	2009-6-01 57.5	2009-9-01 52.7	2010-3-01 46.5	2010-6-01 46.6	2010-9-01 44.2	2011-3-01 43.5	2011-6-01 42.5	2011-9-01 41.8	2012-3-01 37.1	2012-6-01 36.1	2012-9-01 36.8	2013-3-01 39.8	2013-6-01 44	2013-9-01 47.1	2014-3-01 51.1	2014-6-01 54.3	2014-9-01 58.7
03417,Hoffman Estates/Streamwood,2005-3-01 56.1	2005-6-01 59.2	2005-9-01 61.9	2006-3-01 67	2006-6-01 69.7	2006-9-01 72.5	2007-3-01 74.4	2007-6-01 74.7	2007-9-01 73.6	2008-3-01 69	2008-6-01 64.4	2008-9-01 59.3	2009-3-01 51.1	2009-6-01 44.7	2009-9-01 37.5	2010-3-01 32.5	2010-6-01 31.1	2010-9-01 28.5	2011-3-01 19.2	2011-6-01 13.1	2011-9-01 11.1	2012-3-01 7.4	2012-6-01 4.9	2012-9-01 3.2	2013-3-01 3.1	2013-6-01 5.7	2013-9-01 9.9	2014-3-01 15.7	2014-6-01 19.6	2014-9-01 21.5
03418,Schaumburg,2005-3-01 57	2005-6-01 62.1	2005-9-01 67.7	2006-3-01 73.1	2006-6-01 77.5	2006-9-01 79.5	2007-3-01 83.1	2007-6-01 82.7	2007-9-01 82.4	2008-3-01 78.7	2008-6-01 77.1	2008-9-01 74.2	2009-3-01 68.2	2009-6-01 61.3	2009-9-01 53.5	2010-3-01 51.6	2010-6-01 49.6	2010-9-01 46.8	2011-3-01 41	2011-6-01 36.8	2011-9-01 36.3	2012-3-01 31.4	2012-6-01 30.3	2012-9-01 28.1	2013-3-01 28.4	2013-6-01 29.5	2013-9-01 34.1	2014-3-01 39.5	2014-6-01 43.4	2014-9-01 45.5
03419,Mount Prospect/Elk Grove Village,2005-3-01 55.5	2005-6-01 61.7	2005-9-01 66.5	2006-3-01 74.5	2006-6-01 78.5	2006-9-01 81.9	2007-3-01 83	2007-6-01 81.7	2007-9-01 79.9	2008-3-01 75.1	2008-6-01 70.8	2008-9-01 66	2009-3-01 59.9	2009-6-01 55.2	2009-9-01 50.8	2010-3-01 44.1	2010-6-01 41.8	2010-9-01 39.1	2011-3-01 35.8	2011-6-01 31	2011-9-01 28.9	2012-3-01 24.5	2012-6-01 23.5	2012-9-01 23.2	2013-3-01 23.5	2013-6-01 26.6	2013-9-01 30.3	2014-3-01 35.7	2014-6-01 39.3	2014-9-01 40.7
03420,Park Ridge/Des Plaines,2005-3-01 58.4	2005-6-01 65.2	2005-9-01 73.6	2006-3-01 82.7	2006-6-01 86.4	2006-9-01 88.3	2007-3-01 89.6	2007-6-01 89.4	2007-9-01 86.6	2008-3-01 78.5	2008-6-01 70.5	2008-9-01 64.9	2009-3-01 56	2009-6-01 49.8	2009-9-01 43.5	2010-3-01 39.5	2010-6-01 37.4	2010-9-01 34.9	2011-3-01 28	2011-6-01 24.6	2011-9-01 22.9	2012-3-01 18.4	2012-6-01 16.5	2012-9-01 16.4	2013-3-01 18.4	2013-6-01 22.3	2013-9-01 27	2014-3-01 33.3	2014-6-01 36.8	2014-9-01 39.7
03421,Evanston/Skokie,2005-3-01 57.9	2005-6-01 62.4	2005-9-01 68.9	2006-3-01 76.2	2006-6-01 81.8	2006-9-01 84.7	2007-3-01 89.4	2007-6-01 87.3	2007-9-01 85	2008-3-01 78.6	2008-6-01 71.3	2008-9-01 65.4	2009-3-01 56.5	2009-6-01 50.2	2009-9-01 43	2010-3-01 37.8	2010-6-01 34.8	2010-9-01 33.2	2011-3-01 29	2011-6-01 25.6	2011-9-01 24.2	2012-3-01 20.9	2012-6-01 20	2012-9-01 19.3	2013-3-01 20.8	2013-6-01 24.7	2013-9-01 28.2	2014-3-01 32.5	2014-6-01 34.6	2014-9-01 37.8
03422,Elmwood Park/Franklin Park,2005-3-01 70.8	2005-6-01 75.5	2005-9-01 82	2006-3-01 87.2	2006-6-01 91.4	2006-9-01 93	2007-3-01 97.2	2007-6-01 95.5	2007-9-01 94.3	2008-3-01 86.3	2008-6-01 79	2008-9-01 66.9	2009-3-01 52.8	2009-6-01 41.9	2009-9-01 34.2	2010-3-01 25.5	2010-6-01 23.1	2010-9-01 20.2	2011-3-01 12.9	2011-6-01 9.3	2011-9-01 6.2	2012-3-01 1.4	2012-6-01 -0.3	2012-9-01 -1.8	2013-3-01 0.5	2013-6-01 2.4	2013-9-01 7.3	2014-3-01 13.6	2014-6-01 17.5	2014-9-01 20.8
03501,Chicago--Uptown/Rogers Park,2005-3-01 63.9	2005-6-01 67.9	2005-9-01 76.8	2006-3-01 83.3	2006-6-01 90.2	2006-9-01 89.8	2007-3-01 95.7	2007-6-01 94.4	2007-9-01 96.3	2008-3-01 89.5	2008-6-01 87.4	2008-9-01 75.6	2009-3-01 74.4	2009-6-01 68.7	2009-9-01 64.5	2010-3-01 61.1	2010-6-01 59.4	2010-9-01 60.3	2011-3-01 52.7	2011-6-01 47.6	2011-9-01 40.5	2012-3-01 37.9	2012-6-01 38	2012-9-01 42.2	2013-3-01 45.8	2013-6-01 49.6	2013-9-01 57	2014-3-01 61.8	2014-6-01 61.6	2014-9-01 62
03502,Chicago--Lake View/Lincoln Park,2005-3-01 44.8	2005-6-01 47.7	2005-9-01 50.3	2006-3-01 59	2006-6-01 59.5	2006-9-01 59.8	2007-3-01 58.7	2007-6-01 59.5	2007-9-01 64.6	2008-3-01 69.6	2008-6-01 73.6	2008-9-01 68.9	2009-3-01 65	2009-6-01 56.8	2009-9-01 58.2	2010-3-01 53.2	2010-6-01 56.3	2010-9-01 55.5	2011-3-01 60	2011-6-01 58.1	2011-9-01 57.1	2012-3-01 53.8	2012-6-01 50.9	2012-9-01 52.8	2013-3-01 52.8	2013-6-01 59	2013-9-01 61.9	2014-3-01 65.7	2014-6-01 69	2014-9-01 72.3
03503,Chicago--Lincoln Square/North Center,2005-3-01 70.7	2005-6-01 78.5	2005-9-01 82.7	2006-3-01 91.1	2006-6-01 95	2006-9-01 98	2007-3-01 104.2	2007-6-01 106.1	2007-9-01 109.9	2008-3-01 106.9	2008-6-01 103.5	2008-9-01 96.8	2009-3-01 87.2	2009-6-01 83.1	2009-9-01 76.9	2010-3-01 75.8	2010-6-01 70.7	2010-9-01 70.7	2011-3-01 66.2	2011-6-01 68.1	2011-9-01 68.1	2012-3-01 67.2	2012-6-01 63	2012-9-01 62.3	2013-3-01 64.4	2013-6-01 73.7	2013-9-01 82.3	2014-3-01 88.5	2014-6-01 93.4	2014-9-01 100.3
